Mineral,Variable,Women 19-30,Women 31-50,Women 51-70,Women 70+,Men 19-30,Men 31-50,Men 51-70,Men 70+,Limit 19-30,Limit 31-50,Limit 51-70,Limit (71+)
Calcium,M1,1000,1000,1200,1200,1000,1000,1200,1200,2500,2500,2500,2500
Copper,M2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,10,10,10
Flouride,M3,3,3,3,3,4,4,4,4,1.1,1.1,1.1,1.1
Iron,M4,18,18,8,8,8,8,8,8,45,45,45,45
Magnesium,M5,310,320,320,320,400,420,420,420,350,350,350,350
Manganese,M6,1.8,1.8,1.8,1.8,2.3,2.3,2.3,2.3,11,11,11,11
Phosphorus,M7,700,700,700,700,700,700,700,700,4000,4000,4000,3000
Potassium,M8,2600,2600,2600,2600,3400,3400,3400,3400,3400,3400,3400,3400
Selenium,M9 ,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.4,0.4,0.4,0.4
Sodium,M10,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,2000
Zinc,M11,8,8,8,8,11,11,11,11,40,40,40,40